date,location,population,median_age,gdp_per_capita,human_development_index,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,reproduction_rate,new_cases,total_cases,total_tests,positive_rate,stringency_index,hospital_beds_per_thousand,new_deaths
3/20/2020,Peru,32971846.0,29.1,12236.706,0.75,3.5,85.755,5.95,76.74,1.87,0.0,234.0,7373.0,0.063,94.44,1.6,3.0
3/21/2020,Argentina,45195777.0,31.9,18933.907,0.825,0.6,191.032,5.5,76.67,1.86,30.0,158.0,1800.0,0.109,88.89,5.0,1.0
3/21/2020,Peru,32971846.0,29.1,12236.706,0.75,3.5,85.755,5.95,76.74,1.87,84.0,318.0,8266.0,0.064,94.44,1.6,2.0
3/22/2020,Argentina,45195777.0,31.9,18933.907,0.825,0.6,191.032,5.5,76.67,1.86,108.0,266.0,2021.0,0.17300000000000001,88.89,5.0,0.0
3/22/2020,Peru,32971846.0,29.1,12236.706,0.75,3.5,85.755,5.95,76.74,1.86,45.0,363.0,8864.0,0.067,94.44,1.6,0.0
3/23/2020,Argentina,45195777.0,31.9,18933.907,0.825,0.6,191.032,5.5,76.67,1.82,35.0,301.0,2283.0,0.16899999999999998,100.0,5.0,0.0
3/23/2020,Peru,32971846.0,29.1,12236.706,0.75,3.5,85.755,5.95,76.74,1.85,32.0,395.0,9916.0,0.065,94.44,1.6,0.0
3/24/2020,Argentina,45195777.0,31.9,18933.907,0.825,0.6,191.032,5.5,76.67,1.79,86.0,387.0,2669.0,0.187,100.0,5.0,2.0
3/24/2020,Peru,32971846.0,29.1,12236.706,0.75,3.5,85.755,5.95,76.74,1.85,21.0,416.0,10895.0,0.065,94.44,1.6,2.0
3/25/2020,Argentina,45195777.0,31.9,18933.907,0.825,0.6,191.032,5.5,76.67,1.76,0.0,387.0,3110.0,0.157,100.0,5.0,2.0
3/25/2020,Peru,32971846.0,29.1,12236.706,0.75,3.5,85.755,5.95,76.74,1.85,64.0,480.0,12165.0,0.07200000000000001,94.44,1.6,2.0
3/26/2020,Argentina,45195777.0,31.9,18933.907,0.825,0.6,191.032,5.5,76.67,1.74,115.0,502.0,3590.0,0.17600000000000002,100.0,5.0,1.0
3/26/2020,Peru,32971846.0,29.1,12236.706,0.75,3.5,85.755,5.95,76.74,1.85,100.0,580.0,13212.0,0.08199999999999999,94.44,1.6,0.0
3/27/2020,Argentina,45195777.0,31.9,18933.907,0.825,0.6,191.032,5.5,76.67,1.71,87.0,589.0,3953.0,0.188,100.0,5.0,4.0
3/27/2020,Peru,32971846.0,29.1,12236.706,0.75,3.5,85.755,5.95,76.74,1.85,55.0,635.0,14282.0,0.094,94.44,1.6,2.0
3/28/2020,Argentina,45195777.0,31.9,18933.907,0.825,0.6,191.032,5.5,76.67,1.68,101.0,690.0,4360.0,0.20800000000000002,100.0,5.0,5.0
3/28/2020,Peru,32971846.0,29.1,12236.706,0.75,3.5,85.755,5.95,76.74,1.85,36.0,671.0,15246.0,0.107,94.44,1.6,5.0
